ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-10-20,2419,0,2146
CO-ANT,Colombia,Antioquia,2020-10-20,9251,156,3168
CO-ARA,Colombia,Arauca,,0,0,0
CO-ATL,Colombia,Atlantico,2020-10-20,33707,2272,15307
CO-DC,Colombia,Bogota,2020-10-20,49657,1404,19224
CO-BOL,Colombia,Bolivar,2020-10-20,12222,522,7330
CO-BOY,Colombia,Boyaca,2020-10-20,494,23,324
CO-CAL,Colombia,Caldas,2020-10-20,302,0,244
CO-CAQ,Colombia,Caqueta,2020-10-20,111,0,0
CO-CAS,Colombia,Casanare,2020-10-20,118,2,63
CO-CAU,Colombia,Cauca,2020-10-20,2482,166,1300
CO-CES,Colombia,Cesar,2020-10-20,1501,42,918
CO-COR,Colombia,Choco,2020-10-20,2195,107,1083
CO-CUN,Colombia,Cordoba,2020-10-20,1596,348,425
CO-CHO,Colombia,Cundinamarca,2020-10-20,4179,111,2202
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-10-20,423,0,346
CO-LAG,Colombia,La Guajira,2020-10-20,929,83,267
CO-MAG,Colombia,Magdalena,2020-10-20,2821,338,1186
CO-MET,Colombia,Meta,2020-10-20,1596,20,1133
CO-NAR,Colombia,Narino,2020-10-20,4535,174,2766
CO-NSA,Colombia,Norte de Santander,2020-10-20,1923,73,763
CO-PUT,Colombia,Putumayo,2020-10-20,95,18,0
CO-QUI,Colombia,Quindio,2020-10-20,194,0,151
CO-RIS,Colombia,Risaralda,2020-10-20,745,22,436
CO-SAP,Colombia,San Andres y Providencia,2020-10-20,29,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-10-20,2524,250,592
CO-TOL,Colombia,Tolima,2020-10-20,1465,31,564
CO-VAC,Colombia,Valle del Cauca,2020-10-20,12705,507,6015
CO-VAU,Colombia,Vaupes,2020-10-20,30,0,0
CO-VID,Colombia,Vichada,,0,0,0
