ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-09-30,2419,0,2148
CO-ANT,Colombia,Antioquia,2020-09-30,9251,156,3169
CO-ARA,Colombia,Arauca,,0,0,0
CO-ATL,Colombia,Atlantico,2020-09-30,33707,2272,15321
CO-DC,Colombia,Bogota,2020-09-30,49657,1404,19230
CO-BOL,Colombia,Bolivar,2020-09-30,12222,522,7341
CO-BOY,Colombia,Boyaca,2020-09-30,494,23,324
CO-CAL,Colombia,Caldas,2020-09-30,302,0,244
CO-CAQ,Colombia,Caqueta,2020-09-30,111,0,0
CO-CAS,Colombia,Casanare,2020-09-30,118,2,63
CO-CAU,Colombia,Cauca,2020-09-30,2483,166,1300
CO-CES,Colombia,Cesar,2020-09-30,1501,42,918
CO-COR,Colombia,Choco,2020-09-30,2195,107,1083
CO-CUN,Colombia,Cordoba,2020-09-30,1596,348,425
CO-CHO,Colombia,Cundinamarca,2020-09-30,4179,111,2202
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-09-30,423,0,347
CO-LAG,Colombia,La Guajira,2020-09-30,929,83,267
CO-MAG,Colombia,Magdalena,2020-09-30,2821,337,1186
CO-MET,Colombia,Meta,2020-09-30,1596,20,1135
CO-NAR,Colombia,Narino,2020-09-30,4535,174,2764
CO-NSA,Colombia,Norte de Santander,2020-09-30,1923,73,764
CO-PUT,Colombia,Putumayo,2020-09-30,95,18,0
CO-QUI,Colombia,Quindio,2020-09-30,194,0,151
CO-RIS,Colombia,Risaralda,2020-09-30,745,22,436
CO-SAP,Colombia,San Andres y Providencia,2020-09-30,29,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-09-30,2524,250,592
CO-TOL,Colombia,Tolima,2020-09-30,1465,31,564
CO-VAC,Colombia,Valle del Cauca,2020-09-30,12704,507,6019
CO-VAU,Colombia,Vaupes,2020-09-30,30,0,0
CO-VID,Colombia,Vichada,,0,0,0
