ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-07-13,2384,103,2093
CO-ANT,Colombia,Antioquia,2020-07-13,6384,68,2396
CO-ARA,Colombia,Arauca,2020-07-13,0,0,11
CO-ATL,Colombia,Atlantico,2020-07-13,27921,1796,10535
CO-DC,Colombia,Bogota,2020-07-13,37656,988,15588
CO-BOL,Colombia,Bolivar,2020-07-13,10723,436,5809
CO-BOY,Colombia,Boyaca,2020-07-13,431,0,260
CO-CAL,Colombia,Caldas,2020-07-13,273,0,208
CO-CAQ,Colombia,Caqueta,2020-07-13,60,0,0
CO-CAS,Colombia,Casanare,2020-07-13,88,0,0
CO-CAU,Colombia,Cauca,2020-07-13,2130,135,1168
CO-CES,Colombia,Cesar,2020-07-13,1321,0,662
CO-COR,Colombia,Choco,2020-07-13,1982,65,751
CO-CUN,Colombia,Cordoba,2020-07-13,1103,145,304
CO-CHO,Colombia,Cundinamarca,2020-07-13,3258,82,1736
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-07-13,385,0,287
CO-LAG,Colombia,La Guajira,2020-07-13,662,46,149
CO-MAG,Colombia,Magdalena,2020-07-13,2181,199,911
CO-MET,Colombia,Meta,2020-07-13,1359,18,1047
CO-NAR,Colombia,Narino,2020-07-13,3977,134,2404
CO-NSA,Colombia,Norte de Santander,2020-07-13,1394,50,498
CO-PUT,Colombia,Putumayo,2020-07-13,38,0,0
CO-QUI,Colombia,Quindio,2020-07-13,0,0,135
CO-RIS,Colombia,Risaralda,2020-07-13,619,20,354
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-07-13,1892,141,275
CO-TOL,Colombia,Tolima,2020-07-13,1162,26,400
CO-VAC,Colombia,Valle del Cauca,2020-07-13,10515,411,4720
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
