ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-10-19,1762,0,295
CO-ANT,Colombia,Antioquia,2020-10-19,1005,0,456
CO-ARA,Colombia,Arauca,,0,0,0
CO-ATL,Colombia,Atlantico,2020-10-19,3284,165,714
CO-DC,Colombia,Bogota,2020-10-19,8546,272,3312
CO-BOL,Colombia,Bolivar,2020-10-19,2665,175,664
CO-BOY,Colombia,Boyaca,2020-10-19,181,0,83
CO-CAL,Colombia,Caldas,2020-10-19,135,0,105
CO-CAQ,Colombia,Caqueta,2020-10-19,0,0,8
CO-CAS,Colombia,Casanare,2020-10-19,0,0,24
CO-CAU,Colombia,Cauca,2020-10-19,427,42,0
CO-CES,Colombia,Cesar,2020-10-19,129,0,0
CO-COR,Colombia,Choco,2020-10-19,196,8,39
CO-CUN,Colombia,Cordoba,2020-10-19,101,0,49
CO-CHO,Colombia,Cundinamarca,2020-10-19,703,18,241
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-10-19,247,0,176
CO-LAG,Colombia,La Guajira,2020-10-19,57,0,31
CO-MAG,Colombia,Magdalena,2020-10-19,556,0,223
CO-MET,Colombia,Meta,2020-10-19,974,10,118
CO-NAR,Colombia,Narino,2020-10-19,867,65,164
CO-NSA,Colombia,Norte de Santander,2020-10-19,185,0,136
CO-PUT,Colombia,Putumayo,,0,0,0
CO-QUI,Colombia,Quindio,2020-10-19,0,5,79
CO-RIS,Colombia,Risaralda,2020-10-19,250,0,213
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-10-19,15,0,0
CO-TOL,Colombia,Tolima,2020-10-19,247,0,138
CO-VAC,Colombia,Valle del Cauca,2020-10-19,2628,140,968
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
