ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-07-17,2185,98,1507
CO-ANT,Colombia,Antioquia,2020-07-17,2496,0,997
CO-ARA,Colombia,Arauca,2020-07-17,51,0,0
CO-ATL,Colombia,Atlantico,2020-07-17,13154,923,3403
CO-DC,Colombia,Bogota,2020-07-17,18186,516,8289
CO-BOL,Colombia,Bolivar,2020-07-17,5823,299,2241
CO-BOY,Colombia,Boyaca,2020-07-17,265,0,189
CO-CAL,Colombia,Caldas,2020-07-17,207,0,0
CO-CAQ,Colombia,Caqueta,2020-07-17,26,0,0
CO-CAS,Colombia,Casanare,2020-07-17,41,0,0
CO-CAU,Colombia,Cauca,2020-07-17,1341,95,379
CO-CES,Colombia,Cesar,2020-07-17,612,0,191
CO-COR,Colombia,Choco,2020-07-17,921,39,200
CO-CUN,Colombia,Cordoba,2020-07-17,378,22,131
CO-CHO,Colombia,Cundinamarca,2020-07-17,1841,50,806
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-07-17,285,0,239
CO-LAG,Colombia,La Guajira,2020-07-17,162,0,55
CO-MAG,Colombia,Magdalena,2020-07-17,1112,100,537
CO-MET,Colombia,Meta,2020-07-17,1036,0,943
CO-NAR,Colombia,Narino,2020-07-17,2376,102,880
CO-NSA,Colombia,Norte de Santander,2020-07-17,520,30,223
CO-PUT,Colombia,Putumayo,,0,0,0
CO-QUI,Colombia,Quindio,2020-07-17,139,0,106
CO-RIS,Colombia,Risaralda,2020-07-17,383,0,247
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-07-17,406,28,58
CO-TOL,Colombia,Tolima,2020-07-17,504,0,239
CO-VAC,Colombia,Valle del Cauca,2020-07-17,5662,244,2279
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
