ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-07-28,1850,0,409
CO-ANT,Colombia,Antioquia,2020-07-28,1104,0,501
CO-ARA,Colombia,Arauca,,0,0,0
CO-ATL,Colombia,Atlantico,2020-07-28,3931,207,996
CO-DC,Colombia,Bogota,2020-07-28,10002,297,3899
CO-BOL,Colombia,Bolivar,2020-07-28,3191,182,871
CO-BOY,Colombia,Boyaca,2020-07-28,211,12,109
CO-CAL,Colombia,Caldas,2020-07-28,0,0,100
CO-CAQ,Colombia,Caqueta,2020-07-28,0,0,16
CO-CAS,Colombia,Casanare,2020-07-28,35,0,26
CO-CAU,Colombia,Cauca,2020-07-28,598,46,92
CO-CES,Colombia,Cesar,2020-07-28,253,0,61
CO-COR,Colombia,Choco,2020-07-28,226,13,48
CO-CUN,Colombia,Cordoba,2020-07-28,124,0,55
CO-CHO,Colombia,Cundinamarca,2020-07-28,833,0,285
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-07-28,249,0,190
CO-LAG,Colombia,La Guajira,2020-07-28,61,0,0
CO-MAG,Colombia,Magdalena,2020-07-28,613,53,276
CO-MET,Colombia,Meta,2020-07-28,0,11,572
CO-NAR,Colombia,Narino,2020-07-28,1102,73,267
CO-NSA,Colombia,Norte de Santander,2020-07-28,197,0,142
CO-PUT,Colombia,Putumayo,,0,0,0
CO-QUI,Colombia,Quindio,2020-07-28,111,0,85
CO-RIS,Colombia,Risaralda,2020-07-28,255,0,222
CO-SAP,Colombia,San Andres y Providencia,2020-07-28,0,0,15
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-07-28,21,2,0
CO-TOL,Colombia,Tolima,2020-07-28,263,0,146
CO-VAC,Colombia,Valle del Cauca,2020-07-28,2974,157,1143
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
