ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-10-20,2732,122,0
CO-ANT,Colombia,Antioquia,2020-10-20,102574,2421,85515
CO-ARA,Colombia,Arauca,2020-10-20,1449,43,1115
CO-ATL,Colombia,Atlantico,2020-10-20,66487,3247,61351
CO-DC,Colombia,Bogota,2020-10-20,250513,7012,204129
CO-BOL,Colombia,Bolivar,2020-10-20,27978,825,25476
CO-BOY,Colombia,Boyaca,2020-10-20,5978,157,4228
CO-CAL,Colombia,Caldas,2020-10-20,4642,139,3153
CO-CAQ,Colombia,Caqueta,2020-10-20,7761,311,6462
CO-CAS,Colombia,Casanare,2020-10-20,1764,0,1190
CO-CAU,Colombia,Cauca,2020-10-20,10728,447,8448
CO-CES,Colombia,Cesar,2020-10-20,17237,576,12601
CO-COR,Colombia,Choco,2020-10-20,3930,0,3619
CO-CUN,Colombia,Cordoba,2020-10-20,22784,1633,19236
CO-CHO,Colombia,Cundinamarca,2020-10-20,30573,965,24911
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-10-20,9384,329,6156
CO-LAG,Colombia,La Guajira,2020-10-20,7211,307,5656
CO-MAG,Colombia,Magdalena,2020-10-20,14444,887,12026
CO-MET,Colombia,Meta,2020-10-20,14070,399,11280
CO-NAR,Colombia,Narino,2020-10-20,17317,716,14397
CO-NSA,Colombia,Norte de Santander,2020-10-20,41447,2185,31934
CO-PUT,Colombia,Putumayo,2020-10-20,3619,172,3029
CO-QUI,Colombia,Quindio,2020-10-20,2573,85,1608
CO-RIS,Colombia,Risaralda,2020-10-20,9447,224,6863
CO-SAP,Colombia,San Andres y Providencia,2020-10-20,841,0,330
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-10-20,13511,606,11868
CO-TOL,Colombia,Tolima,2020-10-20,10856,340,8060
CO-VAC,Colombia,Valle del Cauca,2020-10-20,54300,2129,44520
CO-VAU,Colombia,Vaupes,2020-10-20,679,7,456
CO-VID,Colombia,Vichada,,0,0,0
