ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-09-11,0,0,2302
CO-ANT,Colombia,Antioquia,2020-09-11,27231,606,8021
CO-ARA,Colombia,Arauca,2020-09-11,185,0,111
CO-ATL,Colombia,Atlantico,2020-09-11,50211,2715,34251
CO-DC,Colombia,Bogota,2020-09-11,91462,2902,40079
CO-BOL,Colombia,Bolivar,2020-09-11,17365,624,12199
CO-BOY,Colombia,Boyaca,2020-09-11,838,38,452
CO-CAL,Colombia,Caldas,2020-09-11,733,17,290
CO-CAQ,Colombia,Caqueta,2020-09-11,745,25,117
CO-CAS,Colombia,Casanare,2020-09-11,270,0,113
CO-CAU,Colombia,Cauca,2020-09-11,3796,227,2221
CO-CES,Colombia,Cesar,2020-09-11,2784,78,1441
CO-COR,Colombia,Choco,2020-09-11,2913,128,1888
CO-CUN,Colombia,Cordoba,2020-09-11,4839,919,1417
CO-CHO,Colombia,Cundinamarca,2020-09-11,7417,265,3916
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-09-11,729,31,416
CO-LAG,Colombia,La Guajira,2020-09-11,1971,138,933
CO-MAG,Colombia,Magdalena,2020-09-11,5654,479,2922
CO-MET,Colombia,Meta,2020-09-11,2374,0,1614
CO-NAR,Colombia,Narino,2020-09-11,7256,288,3987
CO-NSA,Colombia,Norte de Santander,2020-09-11,4894,303,1621
CO-PUT,Colombia,Putumayo,2020-09-11,772,0,69
CO-QUI,Colombia,Quindio,2020-09-11,265,12,199
CO-RIS,Colombia,Risaralda,2020-09-11,1436,0,663
CO-SAP,Colombia,San Andres y Providencia,2020-09-11,36,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-09-11,5662,399,2478
CO-TOL,Colombia,Tolima,2020-09-11,2234,63,1325
CO-VAC,Colombia,Valle del Cauca,2020-09-11,20634,921,10970
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
