ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-08-08,2231,69,0
EC-B,Ecuador,Bolivar,2020-08-08,828,43,0
EC-F,Ecuador,Canar,2020-08-08,595,46,0
EC-C,Ecuador,Carchi,2020-08-08,918,26,0
EC-H,Ecuador,Chimborazo,2020-08-08,2518,161,0
EC-X,Ecuador,Cotopaxi,2020-08-08,422,19,0
EC-O,Ecuador,El Oro,2020-08-08,16453,1637,0
EC-E,Ecuador,Esmeraldas,2020-08-08,959,169,0
EC-W,Ecuador,Galapagos,2020-08-08,856,47,0
EC-G,Ecuador,Guayas,2020-08-08,1297,55,0
EC-I,Ecuador,Imbabura,2020-08-08,5056,679,0
EC-L,Ecuador,Loja,2020-08-08,726,37,0
EC-R,Ecuador,Los Rios,2020-08-08,2329,305,0
EC-M,Ecuador,Manabi,2020-08-08,10414,581,0
EC-S,Ecuador,Morona Santiago,2020-08-08,2571,295,0
EC-N,Ecuador,Napo,2020-08-08,1244,13,0
EC-D,Ecuador,Orellana,2020-08-08,2533,169,0
EC-Y,Ecuador,Pastaza,2020-08-08,986,327,0
EC-P,Ecuador,Pichincha,2020-08-08,1453,130,0
EC-SE,Ecuador,Santa Elena,2020-08-08,642,25,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-08-08,100,1,0
EC-U,Ecuador,Sucumbios,2020-08-08,1444,139,0
EC-T,Ecuador,Tungurahua,2020-08-08,962,32,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-08-08,716,26,0
