ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-07-09,1090,38,0
EC-B,Ecuador,Bolivar,2020-07-09,371,29,0
EC-F,Ecuador,Canar,2020-07-09,374,34,0
EC-C,Ecuador,Carchi,2020-07-09,349,7,0
EC-H,Ecuador,Chimborazo,2020-07-09,1256,96,0
EC-X,Ecuador,Cotopaxi,2020-07-09,186,12,0
EC-O,Ecuador,El Oro,2020-07-09,14475,1476,0
EC-E,Ecuador,Esmeraldas,2020-07-09,496,118,0
EC-W,Ecuador,Galapagos,2020-07-09,273,16,0
EC-G,Ecuador,Guayas,2020-07-09,503,29,0
EC-I,Ecuador,Imbabura,2020-07-09,2950,492,0
EC-L,Ecuador,Loja,2020-07-09,327,24,0
EC-R,Ecuador,Los Rios,2020-07-09,1323,198,0
EC-M,Ecuador,Manabi,2020-07-09,4830,343,0
EC-S,Ecuador,Morona Santiago,2020-07-09,1808,234,0
EC-N,Ecuador,Napo,2020-07-09,198,7,0
EC-D,Ecuador,Orellana,2020-07-09,1228,88,0
EC-Y,Ecuador,Pastaza,2020-07-09,834,288,0
EC-P,Ecuador,Pichincha,2020-07-09,630,77,0
EC-SE,Ecuador,Santa Elena,2020-07-09,175,8,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-07-09,76,1,0
EC-U,Ecuador,Sucumbios,2020-07-09,604,62,0
EC-T,Ecuador,Tungurahua,2020-07-09,326,6,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-07-09,279,7,0
