ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-09-24,2336,69,0
EC-B,Ecuador,Bolivar,2020-09-24,878,44,0
EC-F,Ecuador,Canar,2020-09-24,621,47,0
EC-C,Ecuador,Carchi,2020-09-24,921,27,0
EC-H,Ecuador,Chimborazo,2020-09-24,2538,162,0
EC-X,Ecuador,Cotopaxi,2020-09-24,460,19,0
EC-O,Ecuador,El Oro,2020-09-24,16506,1637,0
EC-E,Ecuador,Esmeraldas,2020-09-24,1019,170,0
EC-W,Ecuador,Galapagos,2020-09-24,887,47,0
EC-G,Ecuador,Guayas,2020-09-24,1393,55,0
EC-I,Ecuador,Imbabura,2020-09-24,5186,681,0
EC-L,Ecuador,Loja,2020-09-24,726,42,0
EC-R,Ecuador,Los Rios,2020-09-24,2406,305,0
EC-M,Ecuador,Manabi,2020-09-24,10681,583,0
EC-S,Ecuador,Morona Santiago,2020-09-24,2610,302,0
EC-N,Ecuador,Napo,2020-09-24,1371,13,0
EC-D,Ecuador,Orellana,2020-09-24,2571,175,0
EC-Y,Ecuador,Pastaza,2020-09-24,988,327,0
EC-P,Ecuador,Pichincha,2020-09-24,1480,132,0
EC-SE,Ecuador,Santa Elena,2020-09-24,644,25,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-09-24,100,1,0
EC-U,Ecuador,Sucumbios,2020-09-24,1472,139,0
EC-T,Ecuador,Tungurahua,2020-09-24,962,34,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-09-24,747,27,0
