ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-05-19,100,5,0
EC-B,Ecuador,Bolivar,2020-05-19,27,1,0
EC-F,Ecuador,Canar,2020-05-19,59,2,0
EC-C,Ecuador,Carchi,2020-05-19,4,0,0
EC-H,Ecuador,Chimborazo,2020-05-19,17,0,0
EC-X,Ecuador,Cotopaxi,2020-05-19,12,0,0
EC-O,Ecuador,El Oro,2020-05-19,2534,130,0
EC-E,Ecuador,Esmeraldas,2020-05-19,46,2,0
EC-W,Ecuador,Galapagos,2020-05-19,21,2,0
EC-G,Ecuador,Guayas,2020-05-19,27,0,0
EC-I,Ecuador,Imbabura,2020-05-19,87,3,0
EC-L,Ecuador,Loja,2020-05-19,2,0,0
EC-R,Ecuador,Los Rios,2020-05-19,58,14,0
EC-M,Ecuador,Manabi,2020-05-19,395,10,0
EC-S,Ecuador,Morona Santiago,2020-05-19,158,10,0
EC-N,Ecuador,Napo,2020-05-19,11,0,0
EC-D,Ecuador,Orellana,2020-05-19,36,2,0
EC-Y,Ecuador,Pastaza,2020-05-19,52,4,0
EC-P,Ecuador,Pichincha,2020-05-19,22,3,0
EC-SE,Ecuador,Santa Elena,2020-05-19,30,1,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-05-19,11,1,0
EC-U,Ecuador,Sucumbios,2020-05-19,23,1,0
EC-T,Ecuador,Tungurahua,2020-05-19,12,0,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-05-19,3,0,0
