ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-08-04,154,6,0
EC-B,Ecuador,Bolivar,2020-08-04,33,2,0
EC-F,Ecuador,Canar,2020-08-04,94,4,0
EC-C,Ecuador,Carchi,2020-08-04,5,0,0
EC-H,Ecuador,Chimborazo,2020-08-04,31,7,0
EC-X,Ecuador,Cotopaxi,2020-08-04,23,2,0
EC-O,Ecuador,El Oro,2020-08-04,5290,165,0
EC-E,Ecuador,Esmeraldas,2020-08-04,65,15,0
EC-W,Ecuador,Galapagos,2020-08-04,32,2,0
EC-G,Ecuador,Guayas,2020-08-04,59,2,0
EC-I,Ecuador,Imbabura,2020-08-04,204,22,0
EC-L,Ecuador,Loja,2020-08-04,4,0,0
EC-R,Ecuador,Los Rios,2020-08-04,149,23,0
EC-M,Ecuador,Manabi,2020-08-04,606,26,0
EC-S,Ecuador,Morona Santiago,2020-08-04,227,14,0
EC-N,Ecuador,Napo,2020-08-04,19,0,0
EC-D,Ecuador,Orellana,2020-08-04,55,6,0
EC-Y,Ecuador,Pastaza,2020-08-04,74,5,0
EC-P,Ecuador,Pichincha,2020-08-04,36,5,0
EC-SE,Ecuador,Santa Elena,2020-08-04,33,1,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-08-04,11,1,0
EC-U,Ecuador,Sucumbios,2020-08-04,36,6,0
EC-T,Ecuador,Tungurahua,2020-08-04,13,0,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-08-04,4,1,0
