ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-09-21,797,33,0
EC-B,Ecuador,Bolivar,2020-09-21,298,22,0
EC-F,Ecuador,Canar,2020-09-21,306,29,0
EC-C,Ecuador,Carchi,2020-09-21,163,4,0
EC-H,Ecuador,Chimborazo,2020-09-21,640,71,0
EC-X,Ecuador,Cotopaxi,2020-09-21,137,9,0
EC-O,Ecuador,El Oro,2020-09-21,13787,1362,0
EC-E,Ecuador,Esmeraldas,2020-09-21,368,100,0
EC-W,Ecuador,Galapagos,2020-09-21,190,12,0
EC-G,Ecuador,Guayas,2020-09-21,334,20,0
EC-I,Ecuador,Imbabura,2020-09-21,1895,375,0
EC-L,Ecuador,Loja,2020-09-21,166,10,0
EC-R,Ecuador,Los Rios,2020-09-21,1025,164,0
EC-M,Ecuador,Manabi,2020-09-21,3405,256,0
EC-S,Ecuador,Morona Santiago,2020-09-21,1379,180,0
EC-N,Ecuador,Napo,2020-09-21,92,2,0
EC-D,Ecuador,Orellana,2020-09-21,800,63,0
EC-Y,Ecuador,Pastaza,2020-09-21,733,277,0
EC-P,Ecuador,Pichincha,2020-09-21,439,60,0
EC-SE,Ecuador,Santa Elena,2020-09-21,97,3,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-09-21,76,1,0
EC-U,Ecuador,Sucumbios,2020-09-21,329,46,0
EC-T,Ecuador,Tungurahua,2020-09-21,195,5,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-09-21,149,4,0
