ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-08-09,285,11,0
EC-B,Ecuador,Bolivar,2020-08-09,66,7,0
EC-F,Ecuador,Canar,2020-08-09,166,9,0
EC-C,Ecuador,Carchi,2020-08-09,14,1,0
EC-H,Ecuador,Chimborazo,2020-08-09,115,15,0
EC-X,Ecuador,Cotopaxi,2020-08-09,38,5,0
EC-O,Ecuador,El Oro,2020-08-09,7502,276,0
EC-E,Ecuador,Esmeraldas,2020-08-09,130,27,0
EC-W,Ecuador,Galapagos,2020-08-09,58,9,0
EC-G,Ecuador,Guayas,2020-08-09,136,9,0
EC-I,Ecuador,Imbabura,2020-08-09,330,52,0
EC-L,Ecuador,Loja,2020-08-09,12,2,0
EC-R,Ecuador,Los Rios,2020-08-09,300,61,0
EC-M,Ecuador,Manabi,2020-08-09,991,57,0
EC-S,Ecuador,Morona Santiago,2020-08-09,402,27,0
EC-N,Ecuador,Napo,2020-08-09,31,0,0
EC-D,Ecuador,Orellana,2020-08-09,123,19,0
EC-Y,Ecuador,Pastaza,2020-08-09,182,43,0
EC-P,Ecuador,Pichincha,2020-08-09,96,9,0
EC-SE,Ecuador,Santa Elena,2020-08-09,35,1,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-08-09,54,1,0
EC-U,Ecuador,Sucumbios,2020-08-09,68,18,0
EC-T,Ecuador,Tungurahua,2020-08-09,25,2,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-08-09,24,2,0
