ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-06-26,285,11,0
EC-B,Ecuador,Bolivar,2020-06-26,66,7,0
EC-F,Ecuador,Canar,2020-06-26,166,9,0
EC-C,Ecuador,Carchi,2020-06-26,14,1,0
EC-H,Ecuador,Chimborazo,2020-06-26,115,15,0
EC-X,Ecuador,Cotopaxi,2020-06-26,38,5,0
EC-O,Ecuador,El Oro,2020-06-26,7502,276,0
EC-E,Ecuador,Esmeraldas,2020-06-26,130,27,0
EC-W,Ecuador,Galapagos,2020-06-26,58,9,0
EC-G,Ecuador,Guayas,2020-06-26,136,9,0
EC-I,Ecuador,Imbabura,2020-06-26,330,52,0
EC-L,Ecuador,Loja,2020-06-26,12,2,0
EC-R,Ecuador,Los Rios,2020-06-26,300,61,0
EC-M,Ecuador,Manabi,2020-06-26,991,57,0
EC-S,Ecuador,Morona Santiago,2020-06-26,402,27,0
EC-N,Ecuador,Napo,2020-06-26,31,0,0
EC-D,Ecuador,Orellana,2020-06-26,123,19,0
EC-Y,Ecuador,Pastaza,2020-06-26,182,43,0
EC-P,Ecuador,Pichincha,2020-06-26,96,9,0
EC-SE,Ecuador,Santa Elena,2020-06-26,35,1,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-06-26,54,1,0
EC-U,Ecuador,Sucumbios,2020-06-26,68,18,0
EC-T,Ecuador,Tungurahua,2020-06-26,25,2,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-06-26,24,2,0
