ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
PE-AMA,Peru,Amazonas,2020-05-22,60,,0
PE-ANC,Peru,Ancash,2020-05-22,365,26,0
PE-APU,Peru,Apurimac,2020-05-22,46,,0
PE-ARE,Peru,Arequipa,2020-05-22,276,8,0
PE-AYA,Peru,Ayacucho,2020-05-22,38,,0
PE-CAJ,Peru,Cajamarca,2020-05-22,78,2,0
PE-CAL,Peru,Callao,2020-05-22,1416,39,0
PE-CUS,Peru,Cusco,2020-05-22,147,3,0
PE-HUV,Peru,Huancavelica,2020-05-22,19,1,0
PE-HUC,Peru,Huanuco,2020-05-22,114,,0
PE-ICA,Peru,Ica,2020-05-22,213,6,0
PE-JUN,Peru,Junin,2020-05-22,207,1,0
PE-LAL,Peru,La Libertad,2020-05-22,318,17,0
PE-LAM,Peru,Lambayeque,2020-05-22,864,97,0
PE-LIM,Peru,Lima,2020-05-22,13214,247,0
PE-LOR,Peru,Loreto,2020-05-22,653,23,0
PE-MDD,Peru,Madre de dios,2020-05-22,71,,0
PE-MOQ,Peru,Moquegua,2020-05-22,48,,0
PE-PAS,Peru,Pasco,2020-05-22,46,1,0
PE-PIU,Peru,Piura,2020-05-22,514,45,0
PE-PUN,Peru,Puno,2020-05-22,15,,0
PE-SAM,Peru,San Martin,2020-05-22,107,1,0
PE-TAC,Peru,Tacna,2020-05-22,44,,0
PE-TUM,Peru,Tumbes,2020-05-22,205,10,0
PE-UCA,Peru,Ucayali,2020-05-22,172,3,0
