ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
PE-AMA,Peru,Amazonas,2020-08-18,1483,32,0
PE-ANC,Peru,Ancash,2020-08-18,6877,403,0
PE-APU,Peru,Apurimac,2020-08-18,412,11,0
PE-ARE,Peru,Arequipa,2020-08-18,5533,154,0
PE-AYA,Peru,Ayacucho,2020-08-18,1375,13,0
PE-CAJ,Peru,Cajamarca,2020-08-18,1474,19,0
PE-CAL,Peru,Callao,2020-08-18,16678,513,0
PE-CUS,Peru,Cusco,2020-08-18,1508,13,0
PE-HUV,Peru,Huancavelica,2020-08-18,756,9,0
PE-HUC,Peru,Huanuco,2020-08-18,1718,38,0
PE-ICA,Peru,Ica,2020-08-18,5968,391,0
PE-JUN,Peru,Junin,2020-08-18,2944,85,0
PE-LAL,Peru,La Libertad,2020-08-18,8060,414,0
PE-LAM,Peru,Lambayeque,2020-08-18,12069,694,0
PE-LIM,Peru,Lima,2020-08-18,141512,3485,0
PE-LOR,Peru,Loreto,2020-08-18,8051,324,0
PE-MDD,Peru,Madre de dios,2020-08-18,1265,21,0
PE-MOQ,Peru,Moquegua,2020-08-18,835,8,0
PE-PAS,Peru,Pasco,2020-08-18,841,16,0
PE-PIU,Peru,Piura,2020-08-18,14902,667,0
PE-PUN,Peru,Puno,2020-08-18,710,14,0
PE-SAM,Peru,San Martin,2020-08-18,3250,83,0
PE-TAC,Peru,Tacna,2020-08-18,692,7,0
PE-TUM,Peru,Tumbes,2020-08-18,2195,108,0
PE-UCA,Peru,Ucayali,2020-08-18,6817,138,0
