ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
PE-AMA,Peru,Amazonas,2020-10-18,12267,202,0
PE-ANC,Peru,Ancash,2020-10-18,20188,1222,0
PE-APU,Peru,Apurimac,2020-10-18,3878,76,0
PE-ARE,Peru,Arequipa,2020-10-18,37378,1236,0
PE-AYA,Peru,Ayacucho,2020-10-18,9729,282,0
PE-CAJ,Peru,Cajamarca,2020-10-18,17367,417,0
PE-CAL,Peru,Callao,2020-10-18,29757,1641,0
PE-CUS,Peru,Cusco,2020-10-18,18168,367,0
PE-HUV,Peru,Huancavelica,2020-10-18,5557,93,0
PE-HUC,Peru,Huanuco,2020-10-18,13937,357,0
PE-ICA,Peru,Ica,2020-10-18,23893,1510,0
PE-JUN,Peru,Junin,2020-10-18,17084,704,0
PE-LAL,Peru,La Libertad,2020-10-18,24919,2121,0
PE-LAM,Peru,Lambayeque,2020-10-18,23669,1629,0
PE-LIM,Peru,Lima,2020-10-18,336670,13678,0
PE-LOR,Peru,Loreto,2020-10-18,17051,935,0
PE-MDD,Peru,Madre de dios,2020-10-18,6935,132,0
PE-MOQ,Peru,Moquegua,2020-10-18,10624,243,0
PE-PAS,Peru,Pasco,2020-10-18,4399,94,0
PE-PIU,Peru,Piura,2020-10-18,32091,1875,0
PE-PUN,Peru,Puno,2020-10-18,10528,267,0
PE-SAM,Peru,San Martin,2020-10-18,15233,675,0
PE-TAC,Peru,Tacna,2020-10-18,10372,175,0
PE-TUM,Peru,Tumbes,2020-10-18,6237,290,0
PE-UCA,Peru,Ucayali,2020-10-18,14901,305,0
