ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-05-30,25904,560,0
AR-K,Argentina,Catamarca,2020-05-30,177,0,0
AR-H,Argentina,Chaco,2020-05-30,3254,57,0
AR-U,Argentina,Chubut,2020-05-30,201,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-05-30,13250,308,0
AR-X,Argentina,Cordoba,2020-05-30,7715,0,0
AR-W,Argentina,Corrientes,2020-05-30,1247,0,0
AR-E,Argentina,Entre Rios,2020-05-30,705,40,0
AR-P,Argentina,Formosa,2020-05-30,305,0,0
AR-Y,Argentina,Jujuy,2020-05-30,1180,0,0
AR-L,Argentina,La Pampa,2020-05-30,153,0,0
AR-F,Argentina,La Rioja,2020-05-30,756,13,0
AR-M,Argentina,Mendoza,2020-05-30,1225,30,0
AR-N,Argentina,Misiones,2020-05-30,549,0,0
AR-Q,Argentina,Neuquen,2020-05-30,935,0,0
AR-R,Argentina,Rio Negro,2020-05-30,1333,0,0
AR-A,Argentina,Salta,2020-05-30,334,0,0
AR-J,Argentina,San Juan,2020-05-30,351,0,0
AR-D,Argentina,San Luis,2020-05-30,193,0,0
AR-Z,Argentina,Santa Cruz,2020-05-30,324,0,0
AR-S,Argentina,Santa Fe,2020-05-30,5575,28,0
AR-G,Argentina,Santiago del Estero,2020-05-30,277,0,0
AR-V,Argentina,Tierra del Fuego,2020-05-30,1140,0,0
AR-T,Argentina,Tucuman,2020-05-30,2143,0,0
