ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-06-13,55980,980,0
AR-K,Argentina,Catamarca,2020-06-13,339,0,0
AR-H,Argentina,Chaco,2020-06-13,6320,122,0
AR-U,Argentina,Chubut,2020-06-13,372,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-13,33364,520,0
AR-X,Argentina,Cordoba,2020-06-13,13707,0,0
AR-W,Argentina,Corrientes,2020-06-13,2524,0,0
AR-E,Argentina,Entre Rios,2020-06-13,1166,62,0
AR-P,Argentina,Formosa,2020-06-13,667,0,0
AR-Y,Argentina,Jujuy,2020-06-13,2002,0,0
AR-L,Argentina,La Pampa,2020-06-13,232,0,0
AR-F,Argentina,La Rioja,2020-06-13,1258,0,0
AR-M,Argentina,Mendoza,2020-06-13,1833,0,0
AR-N,Argentina,Misiones,2020-06-13,982,0,0
AR-Q,Argentina,Neuquen,2020-06-13,1424,0,0
AR-R,Argentina,Rio Negro,2020-06-13,2226,0,0
AR-A,Argentina,Salta,2020-06-13,618,0,0
AR-J,Argentina,San Juan,2020-06-13,590,0,0
AR-D,Argentina,San Luis,2020-06-13,320,0,0
AR-Z,Argentina,Santa Cruz,2020-06-13,448,4,0
AR-S,Argentina,Santa Fe,2020-06-13,9047,0,0
AR-G,Argentina,Santiago del Estero,2020-06-13,1355,0,0
AR-V,Argentina,Tierra del Fuego,2020-06-13,1463,0,0
AR-T,Argentina,Tucuman,2020-06-13,4651,0,0
