ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-06-12,51572,908,0
AR-K,Argentina,Catamarca,2020-06-12,316,0,0
AR-H,Argentina,Chaco,2020-06-12,5998,112,0
AR-U,Argentina,Chubut,2020-06-12,339,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-12,30591,497,0
AR-X,Argentina,Cordoba,2020-06-12,13201,0,0
AR-W,Argentina,Corrientes,2020-06-12,2355,0,0
AR-E,Argentina,Entre Rios,2020-06-12,1102,0,0
AR-P,Argentina,Formosa,2020-06-12,593,0,0
AR-Y,Argentina,Jujuy,2020-06-12,1920,0,0
AR-L,Argentina,La Pampa,2020-06-12,223,0,0
AR-F,Argentina,La Rioja,2020-06-12,1229,18,0
AR-M,Argentina,Mendoza,2020-06-12,1760,0,0
AR-N,Argentina,Misiones,2020-06-12,966,0,0
AR-Q,Argentina,Neuquen,2020-06-12,1361,0,0
AR-R,Argentina,Rio Negro,2020-06-12,2138,0,0
AR-A,Argentina,Salta,2020-06-12,574,0,0
AR-J,Argentina,San Juan,2020-06-12,573,0,0
AR-D,Argentina,San Luis,2020-06-12,317,0,0
AR-Z,Argentina,Santa Cruz,2020-06-12,424,0,0
AR-S,Argentina,Santa Fe,2020-06-12,8678,0,0
AR-G,Argentina,Santiago del Estero,2020-06-12,1305,0,0
AR-V,Argentina,Tierra del Fuego,2020-06-12,1422,0,0
AR-T,Argentina,Tucuman,2020-06-12,4306,0,0
