ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-06-13,2778,97,0
AR-K,Argentina,Catamarca,2020-06-13,44,0,0
AR-H,Argentina,Chaco,2020-06-13,817,0,0
AR-U,Argentina,Chubut,,0,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-13,2240,53,0
AR-X,Argentina,Cordoba,2020-06-13,1356,0,0
AR-W,Argentina,Corrientes,2020-06-13,239,0,0
AR-E,Argentina,Entre Rios,2020-06-13,206,0,0
AR-P,Argentina,Formosa,,0,0,0
AR-Y,Argentina,Jujuy,2020-06-13,113,0,0
AR-L,Argentina,La Pampa,2020-06-13,38,3,0
AR-F,Argentina,La Rioja,2020-06-13,48,0,0
AR-M,Argentina,Mendoza,2020-06-13,166,8,0
AR-N,Argentina,Misiones,,0,0,0
AR-Q,Argentina,Neuquen,2020-06-13,188,0,0
AR-R,Argentina,Rio Negro,2020-06-13,66,0,0
AR-A,Argentina,Salta,2020-06-13,60,0,0
AR-J,Argentina,San Juan,2020-06-13,26,0,0
AR-D,Argentina,San Luis,2020-06-13,51,0,0
AR-Z,Argentina,Santa Cruz,2020-06-13,88,0,0
AR-S,Argentina,Santa Fe,2020-06-13,1139,9,0
AR-G,Argentina,Santiago del Estero,,0,0,0
AR-V,Argentina,Tierra del Fuego,2020-06-13,299,0,0
AR-T,Argentina,Tucuman,2020-06-13,284,0,0
