ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-05-22,723,16,0
AR-K,Argentina,Catamarca,,0,0,0
AR-H,Argentina,Chaco,2020-05-22,267,6,0
AR-U,Argentina,Chubut,2020-05-22,0,1,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-05-22,722,17,0
AR-X,Argentina,Cordoba,2020-05-22,436,2,0
AR-W,Argentina,Corrientes,2020-05-22,43,0,0
AR-E,Argentina,Entre Rios,2020-05-22,40,0,0
AR-P,Argentina,Formosa,,0,0,0
AR-Y,Argentina,Jujuy,,0,0,0
AR-L,Argentina,La Pampa,2020-05-22,6,0,0
AR-F,Argentina,La Rioja,2020-05-22,10,0,0
AR-M,Argentina,Mendoza,2020-05-22,40,0,0
AR-N,Argentina,Misiones,,0,0,0
AR-Q,Argentina,Neuquen,2020-05-22,45,0,0
AR-R,Argentina,Rio Negro,,0,0,0
AR-A,Argentina,Salta,2020-05-22,20,0,0
AR-J,Argentina,San Juan,2020-05-22,8,0,0
AR-D,Argentina,San Luis,2020-05-22,20,0,0
AR-Z,Argentina,Santa Cruz,2020-05-22,21,0,0
AR-S,Argentina,Santa Fe,2020-05-22,172,0,0
AR-G,Argentina,Santiago del Estero,,0,0,0
AR-V,Argentina,Tierra del Fuego,2020-05-22,42,0,0
AR-T,Argentina,Tucuman,2020-05-22,65,0,0
