ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-06-11,49541,897,0
AR-K,Argentina,Catamarca,2020-06-11,305,0,0
AR-H,Argentina,Chaco,2020-06-11,5799,110,0
AR-U,Argentina,Chubut,2020-06-11,329,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-11,29306,489,0
AR-X,Argentina,Cordoba,2020-06-11,13064,0,0
AR-W,Argentina,Corrientes,2020-06-11,2289,0,0
AR-E,Argentina,Entre Rios,2020-06-11,1085,0,0
AR-P,Argentina,Formosa,2020-06-11,570,0,0
AR-Y,Argentina,Jujuy,2020-06-11,1857,0,0
AR-L,Argentina,La Pampa,2020-06-11,217,0,0
AR-F,Argentina,La Rioja,2020-06-11,1211,16,0
AR-M,Argentina,Mendoza,2020-06-11,1728,50,0
AR-N,Argentina,Misiones,2020-06-11,947,0,0
AR-Q,Argentina,Neuquen,2020-06-11,1334,0,0
AR-R,Argentina,Rio Negro,2020-06-11,2097,0,0
AR-A,Argentina,Salta,2020-06-11,568,7,0
AR-J,Argentina,San Juan,2020-06-11,561,0,0
AR-D,Argentina,San Luis,2020-06-11,309,1,0
AR-Z,Argentina,Santa Cruz,2020-06-11,403,0,0
AR-S,Argentina,Santa Fe,2020-06-11,8469,0,0
AR-G,Argentina,Santiago del Estero,2020-06-11,1255,0,0
AR-V,Argentina,Tierra del Fuego,2020-06-11,1404,0,0
AR-T,Argentina,Tucuman,2020-06-11,4174,0,0
