Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
CABA,Argentina,,,,,,
Buenos Aires,Argentina,,,,,,
Chaco,Argentina,,,,,,
Cordoba,Argentina,,,,,,
Entre Rios,Argentina,,,,,,
Rio Negro,Argentina,,,,,,
Tiera del Fuego,Argentina,,,,,,
Jujuy,Argentina,,,,,,
Salta,Argentina,,,,,,
San Luis,Argentina,,,,,,
Santa Cruz,Argentina,,,,,,
Santa Fe,Argentina,,,,,,
Beni,Bolivia,,,,,,
Chuquisaca,Bolivia,,,,,,
Cochabamba,Bolivia,,,,,,
La Paz,Bolivia,,,,,,
Oruro,Bolivia,,,,,,
Pando,Bolivia,,,,,,
Potosi,Bolivia,,,,,,
Santa Cruz,Bolivia,,,,,,
Tarija,Bolivia,,,,,,
Acre,Brazil,,,,,,
Alagoas,Brazil,,,,,,
Amapa,Brazil,,,,,,
Amazonas,Brazil,,,,,,
Bahia,Brazil,,,,,,
Ceara,Brazil,,,,,,
Distrito Federal,Brazil,,,,,,
Espiritu Santo,Brazil,,,,,,
Goias,Brazil,,,,,,
Maranhao,Brazil,,,,,,
Mato Grosso,Brazil,,,,,,
Mato Grosso do Sul,Brazil,,,,,,
Minas Gerais,Brazil,,,,,,
Para,Brazil,,,,,,
Paraiba,Brazil,,,,,,
Parana,Brazil,,,,,,
Pernambuco,Brazil,,,,,,
Piaui,Brazil,,,,,,
Rio de Janeiro,Brazil,,,,,,
Rio Grande do Norte,Brazil,,,,,,
Rio Grande do Sul,Brazil,,,,,,
Rondonia,Brazil,,,,,,
Roraima,Brazil,,,,,,
Santa Catarina,Brazil,,,,,,
Sao Paulo,Brazil,,,,,,
Sergipe,Brazil,,,,,,
Tocantins,Brazil,,,,,,
Arica y Parinacota,Chile,2020-03-23T04:55:06,2,0,0,-18.539468,-69.714608
Tarapaca,Chile,2020-03-23T04:55:06,0,0,0,-20.099081,-69.456921
Antofagasta,Chile,2020-03-23T04:55:06,11,0,0,-23.446309,-68.998489
Atacama,Chile,2020-03-23T04:55:06,1,0,0,-27.648325,-70.432532
Coquimbo,Chile,2020-03-23T04:55:06,5,0,0,-30.540377,-70.967739
Valparaiso,Chile,2020-03-23T04:55:06,16,0,0,-32.740869,-71.404539
Santiago,Chile,2020-03-23T04:55:06,409,0,1,-33.478729,-70.590026
O'Higgins,Chile,2020-03-23T04:55:06,8,0,0,-34.434588,-71.154459
Maule,Chile,2020-03-23T04:55:06,25,0,0,-35.500972,-71.727129
Nuble,Chile,2020-03-23T04:55:06,64,0,0,-36.60281,-72.073119
Biobio,Chile,2020-03-23T04:55:06,35,0,0,-37.225612,-73.108534
Araucania,Chile,2020-03-23T04:55:06,27,0,0,-38.782228,-72.543252
Los Rios,Chile,2020-03-23T04:55:06,1,0,0,-39.922539,-72.588985
Los Lagos,Chile,2020-03-23T04:55:06,23,0,0,-42.046638,-73.008764
Aysen,Chile,2020-03-23T04:55:06,1,0,0,-46.035339,-73.036435
Magallanes,Chile,2020-03-23T04:55:06,4,0,0,-51.902416,-73.244018
Amazonas,Colombia,2020-03-22T13:00:00,0,0,0,,
Antioquia,Colombia,2020-03-22T13:00:00,25,0,0,,
Arauca,Colombia,2020-03-22T13:00:00,0,0,0,,
Atlantico,Colombia,2020-03-22T13:00:00,7,0,0,,
Bogota,Colombia,2020-03-22T13:00:00,0,0,0,,
Bolivar,Colombia,2020-03-22T13:00:00,14,0,0,,
Boyaca,Colombia,2020-03-22T13:00:00,0,0,0,,
Caldas,Colombia,2020-03-22T13:00:00,6,0,0,,
Caqueta,Colombia,2020-03-22T13:00:00,0,0,0,,
Casanare,Colombia,2020-03-22T13:00:00,1,0,0,,
Cauca,Colombia,2020-03-22T13:00:00,2,0,0,,
Cesar ,Colombia,2020-03-22T13:00:00,1,0,0,,
Choco,Colombia,2020-03-22T13:00:00,0,0,0,,
Cordoba,Colombia,2020-03-22T13:00:00,0,0,0,,
Cundinamarca,Colombia,2020-03-22T13:00:00,96,0,0,,
Guainia,Colombia,2020-03-22T13:00:00,0,0,0,,
Guaviare,Colombia,2020-03-22T13:00:00,0,0,0,,
Huila,Colombia,2020-03-22T13:00:00,10,0,0,,
La Guajira,Colombia,2020-03-22T13:00:00,0,0,0,,
Magdalena,Colombia,2020-03-22T13:00:00,2,0,0,,
Meta,Colombia,2020-03-22T13:00:00,1,0,0,,
Narino,Colombia,2020-03-22T13:00:00,0,0,0,,
Norte de Santander,Colombia,2020-03-22T13:00:00,8,0,0,,
Putumayo,Colombia,2020-03-22T13:00:00,0,0,0,,
Quindio,Colombia,2020-03-22T13:00:00,6,0,0,,
Risaralda,Colombia,2020-03-22T13:00:00,13,0,0,,
San Andres y Providencia,Colombia,2020-03-22T13:00:00,1,0,0,,
Santander,Colombia,2020-03-22T13:00:00,3,0,0,,
Sucre,Colombia,2020-03-22T13:00:00,0,0,0,,
Tolima,Colombia,2020-03-22T13:00:00,4,0,0,,
